SITE_ID,atlas,graph_feature_type,feature,feature_engineering,model,train_accuracy,test_accuracy
NYU,dos160,edge_based,average_degree,original,DT,0.5071428571428572,0.4
NYU,dos160,edge_based,average_degree,original,RF,0.5857142857142857,0.4857142857142857
NYU,dos160,edge_based,average_degree,original,XGB,0.49285714285714277,0.5142857142857142
NYU,dos160,edge_based,average_degree,original,LGBM,0.5071428571428572,0.5428571428571428
NYU,dos160,edge_based,average_degree,original,SVM,0.5071428571428571,0.6285714285714286
NYU,dos160,edge_based,average_degree,original,MLP,0.5357142857142857,0.45714285714285713
NYU,dos160,edge_based,average_degree,mi_10,LR,0.6285714285714286,0.6
NYU,dos160,edge_based,average_degree,mi_10,DT,0.5928571428571427,0.5142857142857142
NYU,dos160,edge_based,average_degree,mi_10,RF,0.6142857142857142,0.5142857142857142
NYU,dos160,edge_based,average_degree,mi_10,XGB,0.5714285714285714,0.6
NYU,dos160,edge_based,average_degree,mi_10,LGBM,0.5357142857142858,0.6
NYU,dos160,edge_based,average_degree,mi_10,SVM,0.5857142857142856,0.6571428571428571
NYU,dos160,edge_based,average_degree,mi_10,MLP,0.65,0.5428571428571428
NYU,dos160,edge_based,average_degree,pca_10,LR,0.5785714285714285,0.5714285714285714
NYU,dos160,edge_based,average_degree,pca_10,DT,0.5857142857142856,0.37142857142857144
NYU,dos160,edge_based,average_degree,pca_10,RF,0.5928571428571429,0.6
NYU,dos160,edge_based,average_degree,pca_10,XGB,0.5357142857142857,0.4
NYU,dos160,edge_based,average_degree,pca_10,LGBM,0.5142857142857143,0.5714285714285714
NYU,dos160,edge_based,average_degree,pca_10,SVM,0.5357142857142857,0.6285714285714286
NYU,dos160,edge_based,average_degree,pca_10,MLP,0.5285714285714286,0.6285714285714286
NYU,dos160,graph_level,average_degree,original,LR,0.5428571428571429,0.45714285714285713
NYU,dos160,graph_level,average_degree,original,DT,0.5285714285714285,0.6285714285714286
NYU,dos160,graph_level,average_degree,original,RF,0.5571428571428572,0.6285714285714286
NYU,dos160,graph_level,average_degree,original,XGB,0.4928571428571429,0.6
NYU,dos160,graph_level,average_degree,original,LGBM,0.5428571428571428,0.42857142857142855
NYU,dos160,graph_level,average_degree,original,SVM,0.55,0.5714285714285714
NYU,dos160,graph_level,average_degree,original,MLP,0.5428571428571429,0.37142857142857144
NYU,dos160,graph_level,average_degree,mi_10,LR,0.5214285714285714,0.6
NYU,dos160,graph_level,average_degree,mi_10,DT,0.6214285714285713,0.5428571428571428
NYU,dos160,graph_level,average_degree,mi_10,RF,0.6071428571428571,0.6
NYU,dos160,graph_level,average_degree,mi_10,XGB,0.6,0.5714285714285714
NYU,dos160,graph_level,average_degree,mi_10,LGBM,0.65,0.6285714285714286
NYU,dos160,graph_level,average_degree,mi_10,SVM,0.5642857142857143,0.6
NYU,dos160,graph_level,average_degree,mi_10,MLP,0.5571428571428572,0.4857142857142857
NYU,dos160,graph_level,average_degree,pca_10,LR,0.5928571428571429,0.5714285714285714
NYU,dos160,graph_level,average_degree,pca_10,DT,0.5357142857142856,0.34285714285714286
