atlas,graph_feature_type,feature,feature_engineering,model,train_accuracy,test_accuracy
dos160,graph_level,average_degree,mi_10,LR,0.5084541062801933,0.5169082125603864
dos160,graph_level,average_degree,mi_10,DT,0.8369565217391305,0.5265700483091788
dos160,graph_level,average_degree,mi_10,RF,0.8369565217391305,0.5120772946859904
dos160,graph_level,average_degree,mi_10,XGB,0.7934782608695652,0.46859903381642515
dos160,graph_level,average_degree,mi_10,LGBM,0.7270531400966184,0.5024154589371981
dos160,graph_level,average_degree,mi_10,SVM,0.5205314009661836,0.5362318840579711
dos160,graph_level,average_degree,mi_10,MLP,0.5362318840579711,0.5120772946859904
dos160,node_based,degree,pca_10,LR,0.5688405797101449,0.5265700483091788
dos160,node_based,degree,pca_10,DT,1.0,0.5362318840579711
dos160,node_based,degree,pca_10,RF,1.0,0.5458937198067633
dos160,node_based,degree,pca_10,XGB,1.0,0.5362318840579711
dos160,node_based,degree,pca_10,LGBM,1.0,0.5410628019323671
dos160,node_based,degree,pca_10,SVM,0.5869565217391305,0.5024154589371981
dos160,node_based,degree,pca_10,MLP,0.6727053140096618,0.5362318840579711
dos160,edge_based,average_degree,pca_10,LR,0.572463768115942,0.5169082125603864
dos160,edge_based,average_degree,pca_10,DT,1.0,0.4975845410628019
dos160,edge_based,average_degree,pca_10,RF,1.0,0.47342995169082125
dos160,edge_based,average_degree,pca_10,XGB,0.9963768115942029,0.47342995169082125
dos160,edge_based,average_degree,pca_10,LGBM,0.9891304347826086,0.4396135265700483
dos160,edge_based,average_degree,pca_10,SVM,0.5978260869565217,0.5410628019323671
dos160,edge_based,average_degree,pca_10,MLP,0.7053140096618358,0.5314009661835749
dos160,graph_level,average_degree,pca_10,LR,0.5265700483091788,0.47342995169082125
dos160,graph_level,average_degree,pca_10,DT,0.998792270531401,0.46859903381642515
dos160,graph_level,average_degree,pca_10,RF,0.998792270531401,0.5072463768115942
dos160,graph_level,average_degree,pca_10,XGB,0.998792270531401,0.5410628019323671
dos160,graph_level,average_degree,pca_10,LGBM,0.998792270531401,0.46859903381642515
dos160,graph_level,average_degree,pca_10,SVM,0.535024154589372,0.5507246376811594
dos160,graph_level,average_degree,pca_10,MLP,0.6557971014492754,0.5072463768115942
